,episode_score,mean_reward,episode_step
0,-111.7631,-1.1889691,94.0
1,-132.77693,-1.427709,93.0
2,-108.74327,-1.2793326,85.0
3,-173.9983,-2.2597182,77.0
4,-254.09024,-2.5409024,100.0
5,-59.940308,-0.8211001,73.0
6,-142.6629,-2.129297,67.0
7,-112.204735,-0.92731184,121.0
8,-212.65254,-2.472704,86.0
9,-377.81104,-3.6680682,103.0
10,-65.96233,-0.43974888,150.0
11,-367.8408,-3.313881,111.0
12,-361.87097,-3.8910859,93.0
13,-208.98747,-2.1109846,99.0
14,-81.590515,-1.359842,60.0
15,-142.7565,-1.2746116,112.0
16,-76.05368,-0.9274839,82.0
17,-88.89742,-1.2883685,69.0
18,-138.50034,-1.4892509,93.0
19,-86.354675,-1.3707092,63.0
20,-97.458145,-1.3726499,71.0
21,-401.43817,-3.5842695,112.0
22,-346.68643,-3.5376167,98.0
23,-131.66812,-1.7792989,74.0
24,-391.02808,-4.8275075,81.0
25,-128.67667,-2.042487,63.0
26,-321.66287,-3.4587405,93.0
27,-131.68141,-2.090181,63.0
28,-93.12284,-1.8624568,50.0
29,-124.828156,-0.96766007,129.0
30,-168.27577,-2.588858,65.0
31,-75.5705,-1.1995318,63.0
32,-157.34515,-2.0703309,76.0
33,-380.26862,-2.7357454,139.0
34,-190.02824,-2.9691913,64.0
35,1.9375794,0.016996311,114.0
36,-115.975845,-1.6567979,70.0
37,-263.73434,-2.9303815,90.0
38,-305.96472,-3.1871326,96.0
39,-227.48412,-1.5797508,144.0
40,-362.42844,-3.419136,106.0
41,-112.265205,-1.5378795,73.0
42,-510.5876,-5.2637897,97.0
43,-64.346054,-0.8814528,73.0
44,-135.31866,-2.4164047,56.0
45,-179.43402,-1.7765745,101.0
46,-168.7674,-0.99862367,169.0
47,-283.32547,-2.6983378,105.0
48,-606.0098,-3.6506617,166.0
49,-110.95989,-1.2060858,92.0
50,-226.29785,-1.7818727,127.0
51,-104.00367,-0.77039754,135.0
52,-286.6574,-2.1553187,133.0
53,-240.94217,-2.0770876,116.0
54,-350.61472,-2.4691176,142.0
55,-319.394,-2.8774238,111.0
56,-322.71146,-3.4331007,94.0
57,-146.19095,-1.3052763,112.0
58,-259.5052,-1.9511669,133.0
59,-368.29193,-3.2592206,113.0
60,-208.09023,-2.507111,83.0
61,-207.72006,-1.1604472,179.0
62,-393.13782,-3.2224412,122.0
63,-281.79813,-3.063023,92.0
64,-272.04913,-3.022768,90.0
65,-389.00232,-3.2148952,121.0
66,-273.2511,-2.4617214,111.0
67,-113.36852,-0.74097073,153.0
68,-168.48479,-1.4779367,114.0
69,-411.20767,-4.421588,93.0
70,-198.12973,-1.8516797,107.0
71,-218.61388,-2.082037,105.0
72,-403.95905,-3.9603827,102.0
73,-377.81473,-2.8407123,133.0
74,-400.5508,-4.12939,97.0
75,-354.20016,-3.0534496,116.0
76,-361.92896,-3.320449,109.0
77,-41.13681,-0.31164253,132.0
78,-194.0398,-1.9799979,98.0
79,-290.63077,-2.4840236,117.0
80,-229.62276,-2.4958994,92.0
81,-270.37674,-2.4805205,109.0
82,-307.7621,-2.3857524,129.0
83,-541.0412,-5.05646,107.0
84,-234.41092,-2.190756,107.0
85,-14.556983,-0.09970536,146.0
86,-228.10463,-2.3515942,97.0
87,-253.73149,-2.0628576,123.0
88,-236.63757,-1.9396523,122.0
89,-232.24902,-2.2769513,102.0
90,-228.27785,-2.4812808,92.0
91,-247.16415,-2.3099453,107.0
92,-420.85336,-4.208534,100.0
93,-240.01256,-2.1429694,112.0
94,-76.0364,-0.6788964,112.0
95,-220.37595,-2.1605484,102.0
96,-150.86217,-1.7959782,84.0
97,-305.5268,-2.5250149,121.0
98,-210.7613,-1.9883142,106.0
99,-213.99088,-2.1615238,99.0
100,-271.13678,-2.0697463,131.0
101,-87.273994,-0.8156448,107.0
102,-164.26701,-1.293441,127.0
103,-220.44363,-2.2962878,96.0
104,-199.00081,-2.1630523,92.0
105,-239.02127,-2.276393,105.0
